ID;Voornaam;Achternaam;Email;Geboortedatum;BSN;Antistoffen;Positief getest;Vac1;Vac2;Vaccin;Geldige PCR test?
826;Enola;O'Connell;EnolaO'Connell@example.org;18-4-1938;64326886;nee;nvt;4-5-2021;nog inplannen;PFI;Nee
827;Corbin;Hegmann;CorbinHegmann@example.org;23-4-1953;58533298;ja;19-8-2020;11-4-2021;27-5-2021;PFI;Nee
828;Celestine;Hammes;CelestineHammes@example.org;8-7-1974;43805085;ja;6-11-2020;16-3-2021;14-4-2021;ONB;Ja, 30 uur oud
829;Kellen;Kunze;KellenKunze@example.org;18-2-1933;59636471;ja;5-9-2020;19-5-2021;nog inplannen;MOD;Nee
830;Dayna;Zemlak;DaynaZemlak@example.org;5-2-1972;20112145;nee;nvt;13-3-2021;9-5-2021;PFI;Nee
831;Darius;Ward;DariusWard@example.org;13-3-1995;35195236;ja;21-7-2020;2-2-2021;30-3-2021;MOD;Nee
832;Alison;Jacobson;AlisonJacobson@example.org;29-12-1934;41958809;nee;nvt;14-5-2021;nog inplannen;MOD;Nee
833;Theresia;Ankunding;TheresiaAnkunding@example.org;7-5-1975;37480565;nee;nvt;12-4-2021;29-5-2021;AZ;Nee
834;Darrion;Welch;DarrionWelch@example.org;25-11-1933;21984923;ja;8-9-2020;19-3-2021;27-4-2021;PFI;Nee
835;Teagan;Schoen;TeaganSchoen@example.org;25-1-1933;95076814;nee;nvt;8-2-2021;17-3-2021;PFI;Ja, 30 uur oud
836;Pablo;King;PabloKing@example.org;31-3-2000;64559873;nee;nvt;14-4-2021;23-5-2021;AZ;Nee
837;Lexie;Raynor;LexieRaynor@example.org;17-1-1976;16462725;ja;30-12-2020;8-4-2021;18-5-2021;PFI;Nee
838;Toy;Bechtelar;ToyBechtelar@example.org;20-12-1982;16603825;ja;15-5-2020;28-3-2021;8-5-2021;AZ;Nee
839;Carson;Schaden;CarsonSchaden@example.org;17-1-1972;61443146;nee;nvt;5-5-2021;nog inplannen;PFI;Nee
840;Green;Reichert;GreenReichert@example.org;9-11-1968;88674425;ja;6-11-2020;17-1-2021;26-2-2021;PFI;Nee
841;Oleta;Bosco;OletaBosco@example.org;8-5-1956;17601222;nee;nvt;18-4-2021;nog inplannen;MOD;Nee
842;Devonte;Hilpert;DevonteHilpert@example.org;18-3-1985;41356207;nee;nvt;6-3-2021;19-4-2021;MOD;Ja, 30 uur oud
843;Randy;Wyman;RandyWyman@example.org;26-8-1940;76700017;nee;nvt;17-4-2021;20-5-2021;MOD;Nee
844;Ardella;Quigley;ArdellaQuigley@example.org;5-11-1945;92216134;nee;nvt;5-3-2021;15-4-2021;MOD;Nee
845;Franco;Swift;FrancoSwift@example.org;11-1-1940;41132977;nee;nvt;23-3-2021;21-4-2021;PFI;Nee
846;Sven;Bauch;SvenBauch@example.org;4-7-1935;48241192;nee;nvt;15-2-2021;4-4-2021;PFI;Nee
847;Ethan;Klein;EthanKlein@example.org;26-12-1946;64001020;ja;15-9-2020;14-4-2021;29-5-2021;ONB;Nee
848;Cristina;Hoppe;CristinaHoppe@example.org;21-5-1950;13057325;nee;nvt;5-3-2021;19-4-2021;ONB;Nee
849;Amalia;Gleichner;AmaliaGleichner@example.org;5-5-1963;51560066;nee;nvt;22-1-2021;22-2-2021;PFI;Ja, 30 uur oud
850;Georgiana;Tillman;GeorgianaTillman@example.org;4-3-1933;27131437;nee;nvt;13-4-2021;VOLDAAN;JANS;Nee
851;Nadia;Rutherford;NadiaRutherford@example.org;13-3-1953;38888290;nee;nvt;18-3-2021;12-5-2021;AZ;Nee
852;Deven;Fay;DevenFay@example.org;20-11-1938;98654242;nee;nvt;31-1-2021;18-3-2021;AZ;Nee
853;Summer;Orn;SummerOrn@example.org;19-10-1956;25108674;nee;nvt;11-1-2021;20-2-2021;AZ;Nee
854;Troy;Sipes;TroySipes@example.org;14-1-1947;92554213;ja;3-7-2020;18-3-2021;VOLDAAN;JANS;Nee
855;Judson;Schmeler;JudsonSchmeler@example.org;25-10-1960;54405053;nee;nvt;23-5-2021;nog inplannen;PFI;Nee
856;Walton;Bins;WaltonBins@example.org;1-8-2001;97791763;ja;19-11-2020;16-1-2021;5-3-2021;PFI;Ja, 8 uur oud
857;Neal;Ankunding;NealAnkunding@example.org;8-12-1942;19816018;ja;4-7-2020;30-3-2021;4-5-2021;AZ;Nee
858;Dayton;Eichmann;DaytonEichmann@example.org;11-10-1969;22209489;ja;27-5-2020;11-5-2021;nog inplannen;PFI;Nee
859;Mandy;Heathcote;MandyHeathcote@example.org;12-9-2001;79437436;ja;19-6-2020;10-2-2021;10-4-2021;PFI;Nee
860;Alford;McLaughlin;AlfordMcLaughlin@example.org;15-6-1981;31451661;nee;nvt;5-5-2021;3-6-2021;PFI;Nee
861;Daija;Beahan;DaijaBeahan@example.org;28-9-1955;43303582;ja;17-6-2020;11-1-2021;12-2-2021;PFI;Nee
862;Presley;Bernier;PresleyBernier@example.org;26-10-1986;14489262;nee;nvt;27-2-2021;9-4-2021;PFI;Nee
863;Velva;Ratke;VelvaRatke@example.org;20-6-1977;26065919;nee;nvt;16-5-2021;nog inplannen;PFI;Ja, 8 uur oud
864;Hunter;Treutel;HunterTreutel@example.org;6-3-1961;37265205;ja;29-7-2020;21-5-2021;nog inplannen;PFI;Nee
865;Johnathan;Moore;JohnathanMoore@example.org;6-11-1940;38563166;nee;nvt;17-1-2021;23-2-2021;PFI;Nee
866;Edythe;Eichmann;EdytheEichmann@example.org;23-2-1956;54525239;nee;nvt;26-5-2021;VOLDAAN;AZ;Nee
867;Elda;Wiegand;EldaWiegand@example.org;14-11-1971;92990727;ja;12-8-2020;21-3-2021;1-5-2021;PFI;Nee
868;Marcelino;Purdy;MarcelinoPurdy@example.org;3-4-1939;80554829;ja;24-7-2020;2-2-2021;28-3-2021;MOD;Nee
869;Tillman;Schoen;TillmanSchoen@example.org;24-3-1945;77523751;nee;nvt;24-2-2021;7-4-2021;PFI;Nee
870;Harmon;Rutherford;HarmonRutherford@example.org;4-6-1948;78055284;ja;17-11-2020;13-3-2021;22-4-2021;PFI;Ja, 8 uur oud
871;Sigmund;Hayes;SigmundHayes@example.org;27-12-1959;39160672;ja;31-8-2020;25-2-2021;10-4-2021;PFI;Nee
872;Alexandrine;Schuster;AlexandrineSchuster@example.org;31-8-1990;89726399;ja;18-12-2020;2-3-2021;30-3-2021;ONB;Nee
873;Cathy;Schamberger;CathySchamberger@example.org;28-8-2003;31382432;ja;21-6-2020;1-5-2021;nog inplannen;MOD;Nee
874;Frederic;Stark;FredericStark@example.org;30-3-1972;20597261;nee;nvt;22-4-2021;nog inplannen;PFI;Nee
875;Andy;Feil;AndyFeil@example.org;24-9-1961;45123449;nee;nvt;18-4-2021;27-5-2021;AZ;Nee
876;Sonia;Aufderhar;SoniaAufderhar@example.org;17-7-1940;66999376;nee;nvt;14-5-2021;nog inplannen;PFI;Nee
877;Nicklaus;Hoeger;NicklausHoeger@example.org;4-11-1947;77594459;nee;nvt;1-6-2021;VOLDAAN;AZ;Ja, 30 uur oud
878;Verla;Crist;VerlaCrist@example.org;16-8-1950;75265511;nee;nvt;29-3-2021;27-4-2021;PFI;Ja, 30 uur oud
879;Mabelle;Hermann;MabelleHermann@example.org;31-3-1947;44727799;ja;11-9-2020;24-3-2021;23-4-2021;PFI;Nee
880;Kaleigh;Hudson;KaleighHudson@example.org;24-12-1962;98535204;nee;nvt;15-2-2021;28-3-2021;PFI;Nee
881;Maya;Kiehn;MayaKiehn@example.org;5-2-1940;64886626;ja;8-10-2020;21-3-2021;1-5-2021;PFI;Nee
882;Arnold;Keebler;ArnoldKeebler@example.org;24-11-1977;26336918;ja;20-8-2020;10-2-2021;31-3-2021;PFI;Nee
883;Eric;Fadel;EricFadel@example.org;17-11-1946;54743691;ja;3-6-2020;6-4-2021;16-5-2021;PFI;Nee
884;Helmer;Ernser;HelmerErnser@example.org;25-3-1968;85919328;nee;nvt;8-4-2021;28-5-2021;PFI;Ja, 8 uur oud
885;Dennis;Yost;DennisYost@example.org;12-6-2002;79053250;nee;nvt;26-3-2021;27-4-2021;MOD;Nee
886;Oren;Schiller;OrenSchiller@example.org;8-8-1968;44728984;nee;nvt;23-1-2021;20-2-2021;PFI;Nee
887;Kyler;Stracke;KylerStracke@example.org;21-12-1983;92948522;ja;2-12-2020;21-5-2021;nog inplannen;PFI;Nee
888;Brannon;Braun;BrannonBraun@example.org;5-5-1977;57949693;ja;1-8-2020;16-4-2021;nog inplannen;PFI;Nee
889;Estel;Hane;EstelHane@example.org;22-4-1934;71417932;ja;4-5-2020;30-5-2021;VOLDAAN;AZ;Nee
890;Amparo;Senger;AmparoSenger@example.org;27-11-1984;94968704;nee;nvt;30-5-2021;VOLDAAN;AZ;Nee
891;Rhea;Wiza;RheaWiza@example.org;29-3-1946;10073781;ja;26-10-2020;29-3-2021;26-4-2021;PFI;Ja, 8 uur oud
892;Clifton;Murazik;CliftonMurazik@example.org;28-4-2003;76781509;nee;nvt;7-2-2021;22-3-2021;PFI;Nee
893;Rafaela;Armstrong;RafaelaArmstrong@example.org;21-9-1953;51495236;nee;nvt;23-2-2021;28-3-2021;PFI;Nee
894;Ruth;Quitzon;RuthQuitzon@example.org;22-5-1949;24703894;nee;nvt;15-2-2021;30-3-2021;AZ;Nee
895;Osbaldo;Jast;OsbaldoJast@example.org;7-9-1992;86984314;nee;nvt;20-1-2021;6-3-2021;PFI;Nee
896;Jeremy;Wolff;JeremyWolff@example.org;17-2-2001;28359140;ja;3-6-2020;17-1-2021;8-3-2021;MOD;Nee
897;Nettie;Littel;NettieLittel@example.org;23-8-1962;84241898;ja;14-9-2020;5-5-2021;VOLDAAN;AZ;Nee
898;Janet;Vandervort;JanetVandervort@example.org;5-8-1980;55836663;ja;29-9-2020;27-5-2021;nog inplannen;PFI;Ja, 8 uur oud
899;Jeremy;Christiansen;JeremyChristiansen@example.org;3-2-1986;67032508;nee;nvt;1-3-2021;4-4-2021;PFI;Nee
900;Eva;Hintz;EvaHintz@example.org;2-3-1977;43161212;nee;nvt;19-5-2021;VOLDAAN;JANS;Nee
901;Nicolas;Wisoky;NicolasWisoky@example.org;3-8-1972;36864389;ja;3-5-2020;16-1-2021;7-3-2021;PFI;Nee
902;Jeremie;Hodkiewicz;JeremieHodkiewicz@example.org;14-8-1956;21857065;nee;nvt;25-3-2021;24-4-2021;PFI;Nee
903;Kathryne;Kuvalis;KathryneKuvalis@example.org;17-4-1993;51928830;ja;4-10-2020;28-2-2021;16-4-2021;PFI;Nee
904;Don;Waters;DonWaters@example.org;22-8-1995;10560475;nee;nvt;21-4-2021;nog inplannen;PFI;Nee
905;Marjolaine;Weber;MarjolaineWeber@example.org;4-9-1955;76407488;ja;6-10-2020;2-5-2021;31-5-2021;PFI;Ja, 30 uur oud
906;Ezekiel;Greenholt;EzekielGreenholt@example.org;3-2-1973;36271415;nee;nvt;27-2-2021;16-4-2021;MOD;Nee
907;Olin;Abernathy;OlinAbernathy@example.org;23-6-1944;57308116;ja;28-12-2020;26-2-2021;27-4-2021;MOD;Nee
908;Kenyon;Cruickshank;KenyonCruickshank@example.org;29-10-1935;29692078;ja;23-10-2020;11-4-2021;29-5-2021;PFI;Nee
909;Sandra;Turcotte;SandraTurcotte@example.org;22-4-1997;82335446;nee;nvt;28-5-2021;nog inplannen;PFI;Nee
910;Lauretta;Renner;LaurettaRenner@example.org;5-12-1932;41556598;nee;nvt;26-4-2021;nog inplannen;PFI;Nee
911;Brody;Frami;BrodyFrami@example.org;10-1-1985;30299326;ja;30-5-2020;21-5-2021;nog inplannen;PFI;Nee
912;Nelson;Nienow;NelsonNienow@example.org;7-11-1935;72809292;ja;2-9-2020;5-2-2021;21-3-2021;PFI;Ja, 30 uur oud
913;Raven;Moen;RavenMoen@example.org;6-9-1938;97204067;ja;7-6-2020;10-2-2021;31-3-2021;PFI;Nee
914;Alanis;Wuckert;AlanisWuckert@example.org;11-12-1949;76084322;nee;nvt;11-5-2021;nog inplannen;PFI;Nee
915;Otis;Erdman;OtisErdman@example.org;20-7-1992;24814758;ja;4-8-2020;25-4-2021;nog inplannen;MOD;Nee
916;Bette;Schmidt;BetteSchmidt@example.org;12-2-1937;65315897;ja;10-9-2020;1-4-2021;29-5-2021;ONB;Nee
917;Conor;Mante;ConorMante@example.org;3-3-2003;58657182;nee;nvt;16-2-2021;3-4-2021;PFI;Nee
918;Price;Stiedemann;PriceStiedemann@example.org;8-8-1966;63128523;nee;nvt;16-1-2021;24-2-2021;PFI;Nee
919;Aryanna;Homenick;AryannaHomenick@example.org;2-7-1996;43367037;ja;27-10-2020;21-1-2021;19-3-2021;PFI;Ja, 30 uur oud
920;Santina;Hahn;SantinaHahn@example.org;12-6-1971;30187656;ja;10-11-2020;14-1-2021;14-3-2021;PFI;Nee
921;Dayana;Shanahan;DayanaShanahan@example.org;13-5-1978;44528781;nee;nvt;5-2-2021;13-3-2021;AZ;Nee
922;Desiree;Daniel;DesireeDaniel@example.org;22-9-1991;18591954;ja;13-12-2020;7-2-2021;18-3-2021;PFI;Nee
923;Stone;Kirlin;StoneKirlin@example.org;13-4-2000;62359794;nee;nvt;16-5-2021;nog inplannen;PFI;Nee
924;Tamara;Friesen;TamaraFriesen@example.org;23-9-1963;82909003;nee;nvt;16-4-2021;29-5-2021;PFI;Nee
925;Shayna;Haag;ShaynaHaag@example.org;24-5-1956;47469791;nee;nvt;24-2-2021;19-4-2021;PFI;Nee
926;Lauren;Blick;LaurenBlick@example.org;17-1-2000;63659992;nee;nvt;28-3-2021;30-4-2021;PFI;Ja, 24 uur oud
927;Garnett;Goldner;GarnettGoldner@example.org;21-3-1935;40244854;ja;25-11-2020;1-5-2021;nog inplannen;PFI;Nee
928;Helen;Borer;HelenBorer@example.org;20-7-1953;20449895;ja;30-7-2020;20-4-2021;nog inplannen;PFI;Nee
929;Emilie;Flatley;EmilieFlatley@example.org;21-7-1971;81768054;ja;17-8-2020;9-2-2021;VOLDAAN;JANS;Nee
930;Grace;Turcotte;GraceTurcotte@example.org;7-12-1995;83431489;nee;nvt;15-5-2021;nog inplannen;PFI;Ja, 30 uur oud
931;Carmen;Schumm;CarmenSchumm@example.org;10-2-1946;21357774;ja;4-10-2020;16-5-2021;nog inplannen;PFI;Ja, 30 uur oud
932;Andy;Blanda;AndyBlanda@example.org;6-6-1996;56425336;nee;nvt;18-1-2021;16-2-2021;AZ;Nee
933;Fannie;Mayer;FannieMayer@example.org;24-11-1999;80222534;ja;25-9-2020;7-3-2021;6-4-2021;PFI;Ja, 30 uur oud
934;Felicity;Heaney;FelicityHeaney@example.org;15-7-1946;12280728;nee;nvt;11-4-2021;1-6-2021;PFI;Nee
935;Mireille;Hansen;MireilleHansen@example.org;25-12-1945;14538632;nee;nvt;27-2-2021;31-3-2021;PFI;Nee
936;Mckayla;Gleason;MckaylaGleason@example.org;10-7-1996;93178932;ja;15-6-2020;1-5-2021;nog inplannen;PFI;Nee
937;Elijah;Haley;ElijahHaley@example.org;2-3-1952;50874554;nee;nvt;17-3-2021;5-5-2021;ONB;Nee
938;Bill;Hammes;BillHammes@example.org;8-12-2001;57887824;nee;nvt;14-2-2021;22-3-2021;PFI;Nee
939;Ashlynn;Gibson;AshlynnGibson@example.org;21-8-1976;74906368;nee;nvt;26-2-2021;19-4-2021;PFI;Nee
940;Holly;Yundt;HollyYundt@example.org;21-6-1956;96234650;ja;14-5-2020;12-2-2021;1-4-2021;PFI;Ja, 30 uur oud
941;Monty;Boehm;MontyBoehm@example.org;9-10-1956;18183148;ja;14-5-2020;21-5-2021;VOLDAAN;AZ;Nee
942;Alyson;Waelchi;AlysonWaelchi@example.org;12-7-1975;82375217;ja;3-8-2020;9-4-2021;29-5-2021;PFI;Nee
943;Aniya;Schmeler;AniyaSchmeler@example.org;6-6-1974;68128551;nee;nvt;10-2-2021;1-4-2021;MOD;Nee
944;Sebastian;Mosciski;SebastianMosciski@example.org;30-8-2001;19625035;ja;4-7-2020;7-2-2021;10-3-2021;PFI;Nee
945;Camren;Trantow;CamrenTrantow@example.org;30-10-1940;64955913;nee;nvt;11-4-2021;nog inplannen;PFI;Nee
946;Westley;Torp;WestleyTorp@example.org;29-5-1950;17185910;ja;17-6-2020;3-2-2021;19-3-2021;PFI;Nee
947;Eliezer;Cassin;EliezerCassin@example.org;8-12-1969;43159771;nee;nvt;12-1-2021;2-3-2021;PFI;Ja, 24 uur oud
948;Brisa;Conroy;BrisaConroy@example.org;31-10-1934;11807168;nee;nvt;31-3-2021;22-5-2021;PFI;Nee
949;Trever;Frami;TreverFrami@example.org;25-7-1993;86975275;ja;16-5-2020;20-1-2021;12-3-2021;MOD;Nee
950;Adolphus;McCullough;AdolphusMcCullough@example.org;10-4-2001;48438817;nee;nvt;27-3-2021;29-4-2021;PFI;Nee
951;Jillian;Emmerich;JillianEmmerich@example.org;24-12-1952;69664360;ja;5-7-2020;8-4-2021;10-5-2021;PFI;Nee
952;Brendan;Pacocha;BrendanPacocha@example.org;4-12-1955;89251383;nee;nvt;1-5-2021;nog inplannen;PFI;Nee
953;Angelo;Grant;AngeloGrant@example.org;17-11-1965;59140196;ja;13-12-2020;9-5-2021;nog inplannen;PFI;Nee
954;Gaetano;Baumbach;GaetanoBaumbach@example.org;12-1-1988;82444974;ja;13-11-2020;16-4-2021;15-5-2021;PFI;Ja, 24 uur oud
955;Christ;Wisozk;ChristWisozk@example.org;4-12-1961;24421487;nee;nvt;18-1-2021;14-3-2021;MOD;Nee
956;Moshe;Bruen;MosheBruen@example.org;19-5-1940;58070465;ja;3-11-2020;19-3-2021;1-5-2021;PFI;Nee
957;Lenny;Parker;LennyParker@example.org;13-11-1937;82566111;nee;nvt;3-4-2021;17-5-2021;PFI;Nee
958;Claudie;Nitzsche;ClaudieNitzsche@example.org;1-12-1991;57513077;ja;25-5-2020;8-3-2021;11-4-2021;PFI;Nee
959;Justice;Nienow;JusticeNienow@example.org;26-12-1987;19599241;nee;nvt;16-3-2021;21-4-2021;PFI;Nee
960;Santa;Paucek;SantaPaucek@example.org;26-9-1964;12181222;ja;27-8-2020;20-3-2021;24-4-2021;PFI;Nee
961;Niko;Jakubowski;NikoJakubowski@example.org;3-8-1976;96805689;ja;17-10-2020;17-2-2021;2-4-2021;PFI;Ja, 24 uur oud
962;Trey;Jerde;TreyJerde@example.org;24-11-1967;57392473;ja;13-11-2020;13-2-2021;19-3-2021;PFI;Nee
963;Annie;Rodriguez;AnnieRodriguez@example.org;6-7-1999;49171641;ja;17-8-2020;1-4-2021;13-5-2021;PFI;Nee
964;Imani;Luettgen;ImaniLuettgen@example.org;31-12-1970;69943672;ja;8-5-2020;10-1-2021;3-3-2021;PFI;Nee
965;Aron;Lockman;AronLockman@example.org;5-1-1965;18574171;nee;nvt;3-4-2021;20-5-2021;PFI;Nee
966;Newell;Heaney;NewellHeaney@example.org;25-9-1962;34538375;ja;13-12-2020;27-1-2021;5-3-2021;PFI;Nee
967;Bradley;Schimmel;BradleySchimmel@example.org;15-4-1994;69851808;ja;21-5-2020;29-1-2021;21-3-2021;AZ;Nee
968;Craig;Torp;CraigTorp@example.org;17-2-1936;48339702;ja;10-9-2020;19-3-2021;9-5-2021;AZ;Ja, 24 uur oud
969;Crystal;Erdman;CrystalErdman@example.org;20-4-1986;58487068;ja;7-10-2020;25-4-2021;VOLDAAN;AZ;Nee
970;Helene;Marvin;HeleneMarvin@example.org;15-12-1993;72301989;nee;nvt;23-3-2021;6-5-2021;PFI;Nee
971;Darren;Cartwright;DarrenCartwright@example.org;15-8-1937;35908705;ja;16-7-2020;11-5-2021;VOLDAAN;AZ;Nee
972;Walton;Gislason;WaltonGislason@example.org;24-11-1986;75571527;ja;18-7-2020;11-5-2021;nog inplannen;MOD;Nee
973;Bret;Krajcik;BretKrajcik@example.org;22-9-1976;13685076;ja;22-8-2020;12-5-2021;nog inplannen;PFI;Nee
974;Arvilla;Breitenberg;ArvillaBreitenberg@example.org;28-2-1935;55876308;nee;nvt;20-5-2021;nog inplannen;PFI;Nee
975;Ramon;Moen;RamonMoen@example.org;19-7-1966;95471940;ja;12-12-2020;2-2-2021;22-3-2021;MOD;Ja, 30 uur oud
976;Brigitte;Hudson;BrigitteHudson@example.org;8-10-1948;57602807;ja;21-5-2020;16-4-2021;20-5-2021;PFI;Nee
977;Graciela;Bednar;GracielaBednar@example.org;29-3-1934;74320543;ja;16-8-2020;17-5-2021;nog inplannen;PFI;Nee
978;Kirsten;Stehr;KirstenStehr@example.org;5-12-1988;78330963;nee;nvt;11-4-2021;30-5-2021;PFI;Nee
979;Fannie;Von;FannieVon@example.org;26-6-1944;66153660;nee;nvt;29-5-2021;nog inplannen;PFI;Nee
980;Myles;Schmidt;MylesSchmidt@example.org;17-2-1998;74984651;nee;nvt;15-5-2021;nog inplannen;PFI;Nee
981;Gage;Oberbrunner;GageOberbrunner@example.org;14-11-1993;59659282;nee;nvt;25-1-2021;24-2-2021;PFI;Nee
982;Barbara;Gislason;BarbaraGislason@example.org;27-11-1969;20567456;ja;16-6-2020;13-2-2021;27-3-2021;ONB;Ja, 30 uur oud
983;Hester;Schuster;HesterSchuster@example.org;24-5-1939;61189285;nee;nvt;11-4-2021;VOLDAAN;JANS;Nee
984;Alex;Gerhold;AlexGerhold@example.org;3-12-1970;20896907;ja;6-5-2020;13-5-2021;nog inplannen;PFI;Nee
985;Katharina;Bashirian;KatharinaBashirian@example.org;8-10-1971;11416342;nee;nvt;8-5-2021;nog inplannen;MOD;Nee
986;Alberta;Hermiston;AlbertaHermiston@example.org;1-9-1990;39646486;nee;nvt;2-4-2021;30-5-2021;PFI;Nee
987;Jeramie;Huel;JeramieHuel@example.org;12-11-1997;72199330;ja;10-1-2021;5-5-2021;nog inplannen;PFI;Nee
988;Constance;Goyette;ConstanceGoyette@example.org;29-3-1941;67462191;nee;nvt;28-4-2021;30-5-2021;PFI;Nee
989;Bulah;Hagenes;BulahHagenes@example.org;31-10-1983;16701961;nee;nvt;24-3-2021;27-4-2021;MOD;Ja, 30 uur oud
990;Priscilla;Kulas;PriscillaKulas@example.org;14-1-1985;42278643;ja;13-9-2020;20-5-2021;nog inplannen;PFI;Nee
991;Carissa;Brown;CarissaBrown@example.org;25-2-1946;10394915;nee;nvt;21-2-2021;2-4-2021;PFI;Nee
992;Sophie;Price;SophiePrice@example.org;27-12-1984;39486711;ja;1-12-2020;19-5-2021;nog inplannen;PFI;Nee
993;Trevion;Klein;TrevionKlein@example.org;1-11-1975;46926879;nee;nvt;1-4-2021;12-5-2021;MOD;Nee
994;Lesly;Hilll;LeslyHilll@example.org;24-8-1946;98896771;ja;28-8-2020;8-3-2021;29-4-2021;AZ;Nee
995;Simone;Lakin;SimoneLakin@example.org;21-1-2004;76663788;ja;3-10-2020;20-1-2021;22-2-2021;ONB;Nee
996;Myrna;Bernier;MyrnaBernier@example.org;12-10-2003;14513477;nee;nvt;17-3-2021;13-5-2021;PFI;Ja, 30 uur oud
997;Leta;Smitham;LetaSmitham@example.org;9-3-1949;40306568;nee;nvt;25-1-2021;16-3-2021;AZ;Nee
998;Leo;Konopelski;LeoKonopelski@example.org;8-7-1940;87738729;nee;nvt;8-4-2021;31-5-2021;PFI;Nee
999;Gerardo;Hahn;GerardoHahn@example.org;27-10-1968;57403917;nee;nvt;29-3-2021;6-5-2021;PFI;Nee
